Freq.	V(d_3p)
1.51925000000000e+009	(-7.54908379031270e+000dB,-3.13339084384112e+001°)
1.53924000000000e+009	(-7.53869327665302e+000dB,-3.17980445395622e+001°)
1.55923000000000e+009	(-7.52830740944072e+000dB,-3.22642524763184e+001°)
1.57922000000000e+009	(-7.51793266706313e+000dB,-3.27325469156512e+001°)
1.59921000000000e+009	(-7.50757561562482e+000dB,-3.32029418420456e+001°)
1.61920000000000e+009	(-7.49724290866800e+000dB,-3.36754505332457e+001°)
1.63919000000000e+009	(-7.48694128672168e+000dB,-3.41500855355957e+001°)
1.65918000000000e+009	(-7.47667757667754e+000dB,-3.46268586390083e+001°)
1.67917000000000e+009	(-7.46645869099098e+000dB,-3.51057808515983e+001°)
1.69916000000000e+009	(-7.45629162670433e+000dB,-3.55868623740144e+001°)
1.71915000000000e+009	(-7.44618346429107e+000dB,-3.60701125735091e+001°)
1.73914000000000e+009	(-7.43614136631733e+000dB,-3.65555399577833e+001°)
1.75913000000000e+009	(-7.42617257591936e+000dB,-3.70431521486465e+001°)
1.77912000000000e+009	(-7.41628441509320e+000dB,-3.75329558555327e+001°)
1.79911000000000e+009	(-7.40648428279512e+000dB,-3.80249568489168e+001°)
1.81910000000000e+009	(-7.39677965284891e+000dB,-3.85191599336746e+001°)
1.83909000000000e+009	(-7.38717807165912e+000dB,-3.90155689224355e+001°)
1.85908000000000e+009	(-7.37768715572573e+000dB,-3.95141866089735e+001°)
1.87907000000000e+009	(-7.36831458895996e+000dB,-4.00150147416902e+001°)
1.89906000000000e+009	(-7.35906811979753e+000dB,-4.05180539972414e+001°)
1.91905000000000e+009	(-7.34995555810811e+000dB,-4.10233039543618e+001°)
1.93904000000000e+009	(-7.34098477189898e+000dB,-4.15307630679456e+001°)
1.95903000000000e+009	(-7.33216368381125e+000dB,-4.20404286434413e+001°)
1.97902000000000e+009	(-7.32350026740785e+000dB,-4.25522968116226e+001°)
1.99901000000000e+009	(-7.31500254325174e+000dB,-4.30663625037973e+001°)
2.01900000000000e+009	(-7.30667857477440e+000dB,-4.35826194275190e+001°)
2.03899000000000e+009	(-7.29853646393418e+000dB,-4.41010600428706e+001°)
2.05898000000000e+009	(-7.29058434666466e+000dB,-4.46216755393837e+001°)
2.07897000000000e+009	(-7.28283038811436e+000dB,-4.51444558136688e+001°)
2.09896000000000e+009	(-7.27528277767823e+000dB,-4.56693894478234e+001°)
2.11895000000000e+009	(-7.26794972382342e+000dB,-4.61964636886937e+001°)
2.13894000000000e+009	(-7.26083944871101e+000dB,-4.67256644280609e+001°)
2.15893000000000e+009	(-7.25396018261739e+000dB,-4.72569761838299e+001°)
2.17892000000000e+009	(-7.24732015815786e+000dB,-4.77903820822939e+001°)
2.19891000000000e+009	(-7.24092760431740e+000dB,-4.83258638415498e+001°)
2.21890000000000e+009	(-7.23479074029302e+000dB,-4.88634017561434e+001°)
2.23889000000000e+009	(-7.22891776915297e+000dB,-4.94029746830179e+001°)
2.25888000000000e+009	(-7.22331687131968e+000dB,-4.99445600288429e+001°)
2.27887000000000e+009	(-7.21799619788228e+000dB,-5.04881337387982e+001°)
2.29886000000000e+009	(-7.21296386374728e+000dB,-5.10336702868871e+001°)
2.31885000000000e+009	(-7.20822794063495e+000dB,-5.15811426678531e+001°)
2.33884000000000e+009	(-7.20379644993089e+000dB,-5.21305223907700e+001°)
2.35883000000000e+009	(-7.19967735540242e+000dB,-5.26817794743754e+001°)
2.37882000000000e+009	(-7.19587855579031e+000dB,-5.32348824442173e+001°)
