time	V(d_1p)	V(d_3p)	V(d_5p)
5.372646895059848e-011	4.557789e-002	1.499984e-002	4.439817e-002
5.408465931482046e-011	5.458106e-002	1.511883e-002	5.175835e-002
5.441457625472131e-011	6.367506e-002	1.516326e-002	5.919476e-002
5.477060489622077e-011	7.397270e-002	1.509230e-002	6.758883e-002
5.520402203445584e-011	8.680534e-002	1.486829e-002	7.844423e-002
5.570448843206598e-011	1.020942e-001	1.449218e-002	9.196614e-002
5.628755638286134e-011	1.207388e-001	1.394235e-002	1.089873e-001
5.700200501102845e-011	1.446667e-001	1.308121e-002	1.311008e-001
5.769263775508415e-011	1.682420e-001	1.197829e-002	1.528155e-001
5.839300629106702e-011	1.914178e-001	1.050473e-002	1.739871e-001
5.885301462841946e-011	2.056467e-001	9.317527e-003	1.869338e-001
5.928236077879360e-011	2.178312e-001	8.048672e-003	1.980497e-001
5.977448535349287e-011	2.302111e-001	6.415515e-003	2.094576e-001
6.029224263085432e-011	2.412187e-001	4.518572e-003	2.198187e-001
6.102077919413534e-011	2.531688e-001	1.625502e-003	2.315965e-001
6.172336926719511e-011	2.611262e-001	-1.301556e-003	2.401853e-001
6.225446253417773e-011	2.652342e-001	-3.527025e-003	2.452265e-001
6.276888962241237e-011	2.680852e-001	-5.636870e-003	2.492754e-001
6.332373017464076e-011	2.703655e-001	-7.816173e-003	2.530876e-001
6.395733182311136e-011	2.724828e-001	-1.013658e-002	2.571617e-001
6.458699861755410e-011	2.744806e-001	-1.223103e-002	2.612477e-001
6.515962259544569e-011	2.763886e-001	-1.393536e-002	2.651390e-001
6.579363822225654e-011	2.785689e-001	-1.559198e-002	2.695937e-001
6.631924329147874e-011	2.802618e-001	-1.678143e-002	2.732367e-001
6.683076540406713e-011	2.815568e-001	-1.778081e-002	2.764921e-001
6.738639208171730e-011	2.822269e-001	-1.869209e-002	2.793657e-001
6.793375589552920e-011	2.817706e-001	-1.941428e-002	2.811519e-001
6.854272588752045e-011	2.795123e-001	-2.001408e-002	2.814530e-001
6.900998479441938e-011	2.762871e-001	-2.032878e-002	2.802168e-001
6.984321464610109e-011	2.667961e-001	-2.056392e-002	2.743936e-001
7.052945860701490e-011	2.555265e-001	-2.046203e-002	2.655533e-001
7.080850589951174e-011	2.496157e-001	-2.037413e-002	2.606978e-001
7.108755319200859e-011	2.432866e-001	-2.022815e-002	2.554092e-001
7.136660048450543e-011	2.365393e-001	-2.002409e-002	2.496873e-001
7.164564777700228e-011	2.293737e-001	-1.976196e-002	2.435322e-001
7.192469506949912e-011	2.217898e-001	-1.944174e-002	2.369438e-001
7.220374236199597e-011	2.137876e-001	-1.906344e-002	2.299223e-001
7.248278965449281e-011	2.053671e-001	-1.862707e-002	2.224675e-001
7.320121078234747e-011	1.839525e-001	-1.729142e-002	2.022575e-001
7.415712159575511e-011	1.535612e-001	-1.525467e-002	1.722417e-001
7.463299021337098e-011	1.378210e-001	-1.410592e-002	1.565639e-001
7.511570937995140e-011	1.218305e-001	-1.281429e-002	1.406690e-001
7.561131152077686e-011	1.058211e-001	-1.133107e-002	1.247800e-001
7.614786856307143e-011	8.949612e-002	-9.528943e-003	1.085278e-001
7.671919308774551e-011	7.384294e-002	-7.386161e-003	9.275216e-002
7.730597571525350e-011	6.010543e-002	-4.970362e-003	7.853499e-002
7.780449108926887e-011	5.049928e-002	-2.781967e-003	6.816794e-002
7.825173747719034e-011	4.351554e-002	-7.481310e-004	6.020572e-002
7.870082454748588e-011	3.796349e-002	1.324961e-003	5.340390e-002
7.919116437617964e-011	3.336573e-002	3.581359e-003	4.717912e-002
7.966349029882185e-011	3.011930e-002	5.708209e-003	4.216455e-002
8.017986896916976e-011	2.753568e-002	7.937415e-003	3.750247e-002
8.072253155850846e-011	2.549963e-002	1.013103e-002	3.320708e-002
8.130549941147418e-011	2.364922e-002	1.227909e-002	2.893709e-002
8.186923909156975e-011	2.187100e-002	1.412546e-002	2.489517e-002
8.248782075361475e-011	1.973144e-002	1.587373e-002	2.040772e-002
8.316445340286069e-011	1.719336e-002	1.744798e-002	1.548592e-002
8.373889811739025e-011	1.508151e-002	1.851056e-002	1.149795e-002
8.423672143291764e-011	1.354134e-002	1.923366e-002	8.430511e-003
8.476113940891113e-011	1.252589e-002	1.980361e-002	5.893516e-003
8.532408235175588e-011	1.250559e-002	2.020412e-002	4.331673e-003
8.592355087606804e-011	1.413613e-002	2.039889e-002	4.425724e-003
8.641314872144877e-011	1.700352e-002	2.038662e-002	6.126679e-003
8.710000000000000e-011	2.370789e-002	2.012048e-002	1.135923e-002
8.730605538356538e-011	2.639192e-002	1.997112e-002	1.348676e-002
8.758079589498587e-011	3.024584e-002	1.973945e-002	1.696135e-002
8.794367930793168e-011	3.627785e-002	1.940069e-002	2.262514e-002
8.839865556763894e-011	4.544447e-002	1.889605e-002	3.122562e-002
8.852508904034874e-011	4.827018e-002	1.873173e-002	3.388492e-002
8.865152251305855e-011	5.119186e-002	1.855820e-002	3.664414e-002
8.877795598576836e-011	5.420951e-002	1.837547e-002	3.950329e-002
8.890438945847817e-011	5.732311e-002	1.818353e-002	4.246236e-002
8.903082293118797e-011	6.053269e-002	1.798239e-002	4.552135e-002
8.915725640389779e-011	6.383822e-002	1.777204e-002	4.868027e-002
8.928368987660759e-011	6.723972e-002	1.755248e-002	5.193911e-002
8.970913822290906e-011	7.894066e-002	1.669865e-002	6.310070e-002
9.011709034798145e-011	9.038721e-002	1.576977e-002	7.445940e-002
9.067020775560782e-011	1.064038e-001	1.443103e-002	9.099547e-002
9.123299828929656e-011	1.234743e-001	1.301687e-002	1.090341e-001
9.188521525742161e-011	1.441119e-001	1.129952e-002	1.309038e-001
9.261053097193665e-011	1.673961e-001	9.225698e-003	1.553630e-001
9.332114236760703e-011	1.893767e-001	6.960406e-003	1.782474e-001
9.377938977817342e-011	2.025316e-001	5.359357e-003	1.919284e-001
9.421494522722179e-011	2.139223e-001	3.736975e-003	2.038634e-001
9.470402139520065e-011	2.251700e-001	1.814472e-003	2.158496e-001
9.527058263145639e-011	2.359859e-001	-5.083908e-004	2.277556e-001
9.601918199482360e-011	2.467006e-001	-3.636579e-003	2.403210e-001
9.667376446223378e-011	2.531195e-001	-6.327576e-003	2.486756e-001
9.719742905972055e-011	2.567063e-001	-8.382206e-003	2.539366e-001
9.772737528973370e-011	2.593894e-001	-1.032233e-002	2.583337e-001
9.829237963000799e-011	2.616603e-001	-1.219745e-002	2.623633e-001
9.895962951079747e-011	2.641100e-001	-1.411751e-002	2.666974e-001
9.956759631916187e-011	2.664643e-001	-1.557151e-002	2.705297e-001
1.001544696010421e-010	2.689788e-001	-1.670443e-002	2.742357e-001
1.007876373020914e-010	2.718498e-001	-1.763735e-002	2.781485e-001
1.013672108695999e-010	2.743545e-001	-1.824134e-002	2.814178e-001
1.019203945486592e-010	2.762787e-001	-1.860927e-002	2.839392e-001
1.024658612519995e-010	2.773431e-001	-1.878571e-002	2.854973e-001
1.030387134672889e-010	2.771446e-001	-1.878468e-002	2.857410e-001
1.038416597351872e-010	2.738534e-001	-1.848361e-002	2.829635e-001
1.042674486838144e-010	2.704478e-001	-1.818001e-002	2.797365e-001
1.046932376324417e-010	2.657263e-001	-1.780039e-002	2.751668e-001
1.051190265810689e-010	2.596889e-001	-1.734478e-002	2.692544e-001
1.055448155296961e-010	2.523357e-001	-1.681315e-002	2.619992e-001
1.059706044783233e-010	2.436666e-001	-1.620552e-002	2.534012e-001
1.063963934269506e-010	2.336817e-001	-1.552188e-002	2.434605e-001
1.068221823755778e-010	2.223808e-001	-1.476224e-002	2.321770e-001
1.078041329169562e-010	1.950882e-001	-1.255761e-002	2.045253e-001
1.086675951285410e-010	1.692219e-001	-1.048225e-002	1.770835e-001
1.096515431320463e-010	1.376939e-001	-7.996503e-003	1.438721e-001
1.101388660343539e-010	1.219413e-001	-6.657892e-003	1.275920e-001
1.106542029036045e-010	1.058084e-001	-5.130374e-003	1.111072e-001
1.111542935224350e-010	9.113893e-002	-3.526339e-003	9.621496e-002
1.118053403471317e-010	7.417574e-002	-1.266498e-003	7.896277e-002
1.124070242726621e-010	6.107186e-002	9.615437e-004	6.545416e-002
1.128564158041126e-010	5.302449e-002	2.680992e-003	5.696174e-002
1.132853284118409e-010	4.670374e-002	4.335237e-003	5.009108e-002
1.137402722335397e-010	4.132342e-002	6.071911e-003	4.401007e-002
1.142253967054138e-010	3.686396e-002	7.867177e-003	3.870816e-002
1.147117897094541e-010	3.342719e-002	9.572939e-003	3.437950e-002
1.152386392340225e-010	3.049885e-002	1.127773e-002	3.049677e-002
1.158108832192893e-010	2.782225e-002	1.292732e-002	2.686704e-002
1.163745692835858e-010	2.533001e-002	1.432340e-002	2.357328e-002
1.169648828136209e-010	2.260405e-002	1.552970e-002	2.018311e-002
