time	V(d_1p)	V(d_3p)	V(d_5p)
5.690431546263875e-011	1.366056e-001	-3.260852e-002	2.679717e-002
5.751135224649392e-011	1.567535e-001	-3.224892e-002	2.192073e-002
5.800300087518502e-011	1.729562e-001	-3.168873e-002	1.816446e-002
5.858054319869449e-011	1.912162e-001	-3.040015e-002	1.442930e-002
5.910347715237995e-011	2.065281e-001	-2.846464e-002	1.207641e-002
5.957428827344771e-011	2.189569e-001	-2.604384e-002	1.111316e-002
6.006453583085624e-011	2.302799e-001	-2.290080e-002	1.153683e-002
6.033186189572527e-011	2.357089e-001	-2.096131e-002	1.244853e-002
6.043534787026197e-011	2.376654e-001	-2.017616e-002	1.293881e-002
6.064231981933537e-011	2.413363e-001	-1.856169e-002	1.415724e-002
6.100276801806646e-011	2.469873e-001	-1.561671e-002	1.704021e-002
6.119937612646523e-011	2.496998e-001	-1.396245e-002	1.893993e-002
6.146152027099694e-011	2.528351e-001	-1.195789e-002	2.199454e-002
6.182572948819860e-011	2.565081e-001	-9.134945e-003	2.728302e-002
6.224376547067299e-011	2.599484e-001	-5.762122e-003	3.471888e-002
6.271200000000000e-011	2.630145e-001	-2.108409e-003	4.446860e-002
6.285247035879811e-011	2.637521e-001	-1.173105e-003	4.771964e-002
6.303976417052892e-011	2.647317e-001	1.740953e-004	5.219031e-002
6.327479718061144e-011	2.658921e-001	1.791427e-003	5.796425e-002
6.371005048069380e-011	2.677935e-001	4.164955e-003	6.907450e-002
6.413605118918757e-011	2.694453e-001	5.762999e-003	8.055518e-002
6.472446525426260e-011	2.717099e-001	7.443321e-003	9.758987e-002
6.532136735944385e-011	2.742272e-001	9.211970e-003	1.161971e-001
6.589981885619575e-011	2.768990e-001	1.135041e-002	1.350979e-001
6.640456924302831e-011	2.792415e-001	1.354756e-002	1.517914e-001
6.691958014012838e-011	2.813325e-001	1.593978e-002	1.684656e-001
6.746722676135455e-011	2.828109e-001	1.844215e-002	1.852332e-001
6.791708871576816e-011	2.831484e-001	2.035626e-002	1.979233e-001
6.842417718491362e-011	2.822522e-001	2.230923e-002	2.107659e-001
6.905959786023932e-011	2.788352e-001	2.449133e-002	2.244564e-001
6.919954380909968e-011	2.776924e-001	2.494666e-002	2.270965e-001
6.933948975796002e-011	2.764111e-001	2.540092e-002	2.296156e-001
6.947943570682037e-011	2.749914e-001	2.585413e-002	2.320137e-001
6.961938165568071e-011	2.734331e-001	2.630627e-002	2.342909e-001
6.975932760454107e-011	2.717363e-001	2.675736e-002	2.364471e-001
6.989927355340141e-011	2.699011e-001	2.720739e-002	2.384823e-001
7.003921950226176e-011	2.679273e-001	2.765636e-002	2.403965e-001
7.033986020768834e-011	2.631745e-001	2.848554e-002	2.441103e-001
7.066698098422977e-011	2.570898e-001	2.957154e-002	2.477020e-001
7.089585416097078e-011	2.522144e-001	3.050532e-002	2.499194e-001
7.112472733771177e-011	2.470454e-001	3.145635e-002	2.520325e-001
7.135360051445277e-011	2.415829e-001	3.242462e-002	2.540413e-001
7.158247369119377e-011	2.358269e-001	3.341014e-002	2.559459e-001
7.181134686793478e-011	2.297774e-001	3.441290e-002	2.577463e-001
7.204022004467577e-011	2.234343e-001	3.543291e-002	2.594425e-001
7.226909322141677e-011	2.167978e-001	3.647016e-002	2.610344e-001
7.262178744926610e-011	2.065756e-001	3.762226e-002	2.634213e-001
7.336673034870897e-011	1.839204e-001	3.924108e-002	2.682334e-001
7.427432047778225e-011	1.543696e-001	4.077936e-002	2.742398e-001
7.477153642055384e-011	1.376694e-001	4.142900e-002	2.775571e-001
7.524120293385359e-011	1.219593e-001	4.168598e-002	2.805088e-001
7.577082236595362e-011	1.047896e-001	4.127311e-002	2.833211e-001
7.626554780952121e-011	8.970244e-002	4.000505e-002	2.851450e-001
7.688029271522775e-011	7.283688e-002	3.708152e-002	2.858479e-001
7.747730213515340e-011	5.889755e-002	3.285458e-002	2.844523e-001
7.771746047274653e-011	5.403503e-002	3.080467e-002	2.832361e-001
7.800555429586558e-011	4.878647e-002	2.812766e-002	2.812380e-001
7.819729623796925e-011	4.564302e-002	2.623536e-002	2.795725e-001
7.844781112860922e-011	4.192061e-002	2.359441e-002	2.770106e-001
7.867905564304612e-011	3.889517e-002	2.114804e-002	2.743176e-001
7.898738166229531e-011	3.547977e-002	1.796303e-002	2.700011e-001
7.929145665332081e-011	3.264840e-002	1.465803e-002	2.649155e-001
7.975163486425932e-011	2.916894e-002	9.369752e-003	2.558427e-001
8.013200000000000e-011	2.690254e-002	4.983904e-003	2.473116e-001
8.020317617285592e-011	2.656062e-002	4.251188e-003	2.455930e-001
8.029807773666382e-011	2.609818e-002	3.215781e-003	2.432604e-001
8.048788086427961e-011	2.518978e-002	1.075380e-003	2.384886e-001
8.077243448566922e-011	2.393474e-002	-2.018970e-003	2.311425e-001
8.108497755513910e-011	2.272202e-002	-5.055196e-003	2.228346e-001
8.142256977982533e-011	2.154885e-002	-7.921429e-003	2.135295e-001
8.178329224225902e-011	2.035016e-002	-1.069080e-002	2.031292e-001
8.219208847452163e-011	1.894345e-002	-1.372075e-002	1.907305e-001
8.268906905462035e-011	1.706409e-002	-1.752698e-002	1.748690e-001
8.317107153518260e-011	1.506718e-002	-2.146455e-002	1.588969e-001
8.365168310140304e-011	1.302671e-002	-2.558736e-002	1.427601e-001
8.413931456769281e-011	1.113383e-002	-2.980967e-002	1.266057e-001
8.468556103829056e-011	9.596661e-003	-3.434392e-002	1.093160e-001
8.520394006870209e-011	9.088115e-003	-3.826484e-002	9.415448e-002
8.583041808107079e-011	1.024474e-002	-4.235583e-002	7.795572e-002
8.640621957969569e-011	1.341196e-002	-4.548309e-002	6.536393e-002
8.659355425390010e-011	1.492609e-002	-4.637903e-002	6.175835e-002
8.684333381950597e-011	1.734105e-002	-4.749566e-002	5.731824e-002
8.712566661804940e-011	2.063357e-002	-4.869193e-002	5.277577e-002
8.727966632634582e-011	2.265320e-002	-4.935746e-002	5.047888e-002
8.748499927074105e-011	2.555855e-002	-5.003060e-002	4.769932e-002
8.788105205994323e-011	3.214865e-002	-5.120612e-002	4.298535e-002
8.825129607085652e-011	3.951966e-002	-5.240165e-002	3.917449e-002
8.858209208999300e-011	4.698367e-002	-5.354488e-002	3.615787e-002
8.891997237300209e-011	5.528849e-002	-5.457303e-002	3.342063e-002
8.923186186501050e-011	6.359565e-002	-5.551590e-002	3.107637e-002
8.964771452102171e-011	7.519611e-002	-5.656100e-002	2.813501e-002
9.004163560207087e-011	8.652434e-002	-5.695661e-002	2.558442e-002
9.058533363137185e-011	1.027517e-001	-5.668582e-002	2.226834e-002
9.112748347768723e-011	1.196932e-001	-5.586818e-002	1.899622e-002
9.178476244706729e-011	1.410559e-001	-5.446037e-002	1.496355e-002
9.240732852305361e-011	1.616216e-001	-5.258510e-002	1.124603e-002
9.292802991118983e-011	1.785439e-001	-5.033725e-002	8.503502e-003
9.344745604705888e-011	1.946399e-001	-4.720553e-002	6.459048e-003
9.389106301148403e-011	2.074175e-001	-4.370421e-002	5.521071e-003
9.439633946759960e-011	2.205314e-001	-3.875708e-002	5.653208e-003
9.485976877822928e-011	2.309998e-001	-3.339168e-002	7.105007e-003
9.515180714999879e-011	2.367716e-001	-2.966107e-002	8.746894e-003
9.522592325646099e-011	2.381324e-001	-2.867755e-002	9.257898e-003
9.537415546938537e-011	2.407274e-001	-2.667325e-002	1.039797e-002
9.556664822310244e-011	2.438479e-001	-2.400496e-002	1.211620e-002
9.573016863164885e-011	2.462809e-001	-2.169074e-002	1.378951e-002
9.581342134435791e-011	2.474598e-001	-2.045954e-002	1.469692e-002
9.589667405706696e-011	2.485853e-001	-1.924098e-002	1.565371e-002
9.597992676977602e-011	2.496574e-001	-1.803509e-002	1.665986e-002
9.606317948248509e-011	2.506761e-001	-1.684184e-002	1.771537e-002
9.614643219519415e-011	2.516415e-001	-1.566125e-002	1.882026e-002
9.622968490790320e-011	2.525534e-001	-1.449332e-002	1.997451e-002
9.631293762061226e-011	2.534119e-001	-1.333804e-002	2.117813e-002
9.672752567332432e-011	2.571415e-001	-7.428959e-003	2.818347e-002
9.712372408027510e-011	2.599485e-001	-1.632719e-003	3.614700e-002
9.755200000000001e-011	2.623221e-001	4.507872e-003	4.587512e-002
9.768048277591748e-011	2.628767e-001	6.195527e-003	4.905492e-002
9.785179314380744e-011	2.636164e-001	8.536165e-003	5.340194e-002
9.807625696603297e-011	2.645288e-001	1.154356e-002	5.923055e-002
9.852093068919355e-011	2.660857e-001	1.682029e-002	7.114042e-002
9.893274797898294e-011	2.673164e-001	2.088584e-002	8.266614e-002
9.952341964150921e-011	2.690567e-001	2.590756e-002	1.002320e-001
1.001004787191665e-010	2.709728e-001	3.049937e-002	1.185392e-001
1.011728080945210e-010	2.750951e-001	3.909291e-002	1.541509e-001
1.016896891353830e-010	2.768960e-001	4.306625e-002	1.710240e-001
1.022399557965196e-010	2.781595e-001	4.688370e-002	1.879907e-001
1.026892821415985e-010	2.783923e-001	4.956919e-002	2.007359e-001
1.031979260812617e-010	2.774574e-001	5.208744e-002	2.136572e-001
1.038163280446070e-010	2.742369e-001	5.445141e-002	2.269891e-001
1.040715560541308e-010	2.721757e-001	5.523346e-002	2.316593e-001
1.043267840636546e-010	2.696393e-001	5.594838e-002	2.359409e-001
1.045820120731785e-010	2.666276e-001	5.659617e-002	2.398339e-001
1.048372400827023e-010	2.631408e-001	5.717683e-002	2.433383e-001
