time	V(ctle_out)	V(n_3p)
8.835461774552312e-010	1.444067e-003	5.217611e-003
8.846971261159451e-010	1.688892e-003	5.088886e-003
8.858480747766590e-010	1.913150e-003	4.879772e-003
8.869990234373728e-010	2.116839e-003	4.590269e-003
8.880279017855868e-010	2.264534e-003	4.259095e-003
8.890567801338007e-010	2.381049e-003	3.884180e-003
8.900856584820146e-010	2.466383e-003	3.465523e-003
8.911145368302286e-010	2.520536e-003	3.003126e-003
8.921434151784425e-010	2.543508e-003	2.496987e-003
8.931722935266564e-010	2.535299e-003	1.947108e-003
8.942011718748703e-010	2.495910e-003	1.353487e-003
8.950731026784415e-010	2.433747e-003	8.327470e-004
8.959450334820125e-010	2.350669e-003	3.093886e-004
8.968169642855837e-010	2.246678e-003	-2.165886e-004
8.976888950891548e-010	2.121771e-003	-7.451845e-004
8.985608258927260e-010	1.975951e-003	-1.276399e-003
8.994327566962970e-010	1.809216e-003	-1.810232e-003
9.003046874998682e-010	1.621567e-003	-2.346684e-003
9.014033203123678e-010	1.355484e-003	-3.006752e-003
9.025019531248674e-010	1.074010e-003	-3.627662e-003
9.036005859373671e-010	7.771460e-004	-4.209414e-003
9.046992187498667e-010	4.648918e-004	-4.752008e-003
9.057978515623663e-010	1.372474e-004	-5.255445e-003
9.068964843748659e-010	-2.057873e-004	-5.719725e-003
9.079951171873655e-010	-5.642122e-004	-6.144846e-003
9.092506975445079e-010	-9.782508e-004	-6.552698e-003
9.105062779016504e-010	-1.378552e-003	-6.887924e-003
9.117618582587928e-010	-1.765117e-003	-7.150522e-003
9.130174386159352e-010	-2.137945e-003	-7.340495e-003
9.142730189730776e-010	-2.497036e-003	-7.457841e-003
9.155285993302201e-010	-2.842389e-003	-7.502561e-003
9.167841796873625e-010	-3.174006e-003	-7.474654e-003
9.184059709820047e-010	-3.555569e-003	-7.321274e-003
9.200277622766471e-010	-3.876290e-003	-7.078248e-003
9.216495535712893e-010	-4.136168e-003	-6.745577e-003
9.232713448659317e-010	-4.335203e-003	-6.323260e-003
9.248931361605739e-010	-4.473397e-003	-5.811297e-003
9.265149274552163e-010	-4.550747e-003	-5.209689e-003
9.281367187498585e-010	-4.567256e-003	-4.518434e-003
9.292004743302158e-010	-4.536493e-003	-4.036733e-003
9.302642299105731e-010	-4.480294e-003	-3.546787e-003
9.313279854909304e-010	-4.398657e-003	-3.048596e-003
9.323917410712876e-010	-4.291583e-003	-2.542162e-003
9.334554966516449e-010	-4.159073e-003	-2.027483e-003
9.345192522320023e-010	-4.001125e-003	-1.504559e-003
9.355830078123595e-010	-3.817739e-003	-9.733915e-004
9.365944475445029e-010	-3.621887e-003	-4.793084e-004
9.376058872766463e-010	-3.414077e-003	-8.312516e-006
9.386173270087897e-010	-3.194310e-003	4.395961e-004
9.396287667409329e-010	-2.962586e-003	8.644174e-004
9.406402064730763e-010	-2.718904e-003	1.266151e-003
9.416516462052197e-010	-2.463264e-003	1.644798e-003
9.426630859373631e-010	-2.195667e-003	2.000358e-003
