time	V(sum)
6.275258789062495e-010	2.825504e-003
6.276479492187495e-010	2.858434e-003
6.277700195312494e-010	2.891977e-003
6.278920898437494e-010	2.926128e-003
6.280141601562494e-010	2.960891e-003
6.281362304687493e-010	2.996265e-003
6.282583007812493e-010	3.032259e-003
6.283803710937492e-010	3.068884e-003
6.285024414062492e-010	3.106147e-003
6.286245117187492e-010	3.144051e-003
6.287465820312491e-010	3.182598e-003
6.288686523437491e-010	3.221777e-003
6.289907226562490e-010	3.261565e-003
6.291127929687490e-010	3.301960e-003
6.292348632812489e-010	3.342967e-003
6.293569335937489e-010	3.384585e-003
6.294790039062489e-010	3.426822e-003
6.296010742187488e-010	3.469688e-003
6.297231445312488e-010	3.513188e-003
6.298452148437487e-010	3.557324e-003
6.299672851562487e-010	3.602098e-003
6.300893554687486e-010	3.647509e-003
6.302114257812486e-010	3.693559e-003
6.303334960937486e-010	3.740229e-003
6.304555664062485e-010	3.787490e-003
6.305776367187485e-010	3.835345e-003
6.306997070312484e-010	3.883801e-003
6.308217773437484e-010	3.932859e-003
6.309438476562483e-010	3.982523e-003
6.310659179687483e-010	4.032803e-003
6.311879882812483e-010	4.083700e-003
6.313100585937482e-010	4.135216e-003
6.314321289062482e-010	4.187349e-003
6.315541992187481e-010	4.240099e-003
6.316762695312481e-010	4.293463e-003
6.317983398437480e-010	4.347441e-003
6.319204101562480e-010	4.402030e-003
6.320424804687480e-010	4.457227e-003
6.321645507812479e-010	4.513032e-003
6.322866210937479e-010	4.569440e-003
6.324086914062478e-010	4.626425e-003
6.325307617187478e-010	4.683951e-003
6.326528320312477e-010	4.742029e-003
6.327749023437477e-010	4.800675e-003
6.328969726562477e-010	4.859885e-003
6.330190429687476e-010	4.919663e-003
6.331411132812476e-010	4.980011e-003
6.332631835937475e-010	5.040929e-003
6.333852539062475e-010	5.102414e-003
6.335073242187475e-010	5.164462e-003
6.336293945312474e-010	5.227069e-003
6.337514648437474e-010	5.290231e-003
6.338735351562473e-010	5.353942e-003
6.339956054687473e-010	5.418198e-003
6.341176757812472e-010	5.482994e-003
6.342397460937472e-010	5.548324e-003
6.343618164062472e-010	5.614181e-003
6.344838867187471e-010	5.680562e-003
6.346059570312471e-010	5.747458e-003
6.347280273437470e-010	5.814864e-003
6.348500976562470e-010	5.882773e-003
6.349721679687469e-010	5.951177e-003
6.350942382812469e-010	6.020070e-003
6.352163085937469e-010	6.089445e-003
6.353383789062468e-010	6.159293e-003
6.354604492187468e-010	6.229606e-003
6.355825195312467e-010	6.300376e-003
6.357045898437467e-010	6.371595e-003
6.358266601562466e-010	6.443255e-003
6.359487304687466e-010	6.515345e-003
6.360708007812466e-010	6.587857e-003
6.361928710937465e-010	6.660860e-003
6.363149414062465e-010	6.734438e-003
6.364370117187464e-010	6.808538e-003
6.365590820312464e-010	6.883090e-003
6.366811523437463e-010	6.958086e-003
6.368032226562463e-010	7.033511e-003
6.369252929687463e-010	7.109346e-003
6.370473632812462e-010	7.185578e-003
6.371694335937462e-010	7.262196e-003
6.372915039062461e-010	7.339190e-003
6.374135742187461e-010	7.416550e-003
6.375356445312460e-010	7.494265e-003
6.376577148437460e-010	7.572325e-003
6.377797851562460e-010	7.650719e-003
6.379018554687459e-010	7.729436e-003
6.380239257812459e-010	7.808509e-003
6.381459960937458e-010	7.887987e-003
6.382680664062458e-010	7.967848e-003
6.383901367187457e-010	8.048058e-003
6.385122070312457e-010	8.128603e-003
6.386342773437457e-010	8.209466e-003
6.387563476562456e-010	8.290621e-003
6.388784179687456e-010	8.372048e-003
6.390004882812455e-010	8.453733e-003
6.391225585937455e-010	8.535665e-003
6.392446289062455e-010	8.617830e-003
6.393666992187454e-010	8.700214e-003
6.394887695312454e-010	8.782805e-003
6.396108398437453e-010	8.865634e-003
6.397329101562453e-010	8.948751e-003
6.398549804687452e-010	9.032140e-003
6.399770507812452e-010	9.115766e-003
6.400991210937452e-010	9.199617e-003
6.402211914062451e-010	9.283669e-003
6.403432617187451e-010	9.367892e-003
6.404653320312450e-010	9.452261e-003
6.405874023437450e-010	9.536760e-003
6.407094726562449e-010	9.621373e-003
6.408315429687449e-010	9.706087e-003
6.409536132812449e-010	9.790886e-003
6.410756835937448e-010	9.875800e-003
6.411977539062448e-010	9.960883e-003
6.413198242187447e-010	1.004612e-002
6.414418945312447e-010	1.013148e-002
6.415639648437446e-010	1.021695e-002
6.416860351562446e-010	1.030249e-002
6.418081054687446e-010	1.038809e-002
6.419301757812445e-010	1.047370e-002
6.420522460937445e-010	1.055930e-002
6.421743164062444e-010	1.064490e-002
6.422963867187444e-010	1.073045e-002
6.424184570312443e-010	1.081600e-002
6.425405273437443e-010	1.090159e-002
6.426625976562443e-010	1.098722e-002
6.427846679687442e-010	1.107284e-002
6.429067382812442e-010	1.115846e-002
6.430288085937441e-010	1.124403e-002
6.431508789062441e-010	1.132953e-002
6.432729492187440e-010	1.141492e-002
6.433950195312440e-010	1.150018e-002
6.435170898437440e-010	1.158529e-002
6.436391601562439e-010	1.167024e-002
6.437612304687439e-010	1.175505e-002
6.438833007812438e-010	1.183979e-002
6.440053710937438e-010	1.192445e-002
6.441274414062438e-010	1.200898e-002
6.442495117187437e-010	1.209339e-002
6.443715820312437e-010	1.217763e-002
6.444936523437436e-010	1.226166e-002
6.446157226562436e-010	1.234545e-002
6.447377929687435e-010	1.242898e-002
6.448598632812435e-010	1.251223e-002
6.449819335937435e-010	1.259523e-002
6.451040039062434e-010	1.267802e-002
6.452260742187434e-010	1.276060e-002
6.453481445312433e-010	1.284293e-002
6.454702148437433e-010	1.292502e-002
