time	V(n_3p)	V(sum)
3.687499999999994e-011	4.812157e-010	4.777737e-010
3.712499999999994e-011	4.040511e-010	4.009663e-010
3.737499999999994e-011	3.145472e-010	3.118994e-010
3.762499999999994e-011	2.144520e-010	2.123119e-010
3.787499999999994e-011	1.057962e-010	1.042238e-010
3.812499999999994e-011	-9.149234e-012	-1.010593e-011
3.837499999999994e-011	-1.279215e-010	-1.282279e-010
3.862499999999994e-011	-2.479194e-010	-2.475551e-010
3.887499999999994e-011	-3.664603e-010	-3.654199e-010
3.912499999999994e-011	-4.808396e-010	-4.791325e-010
3.937499999999994e-011	-5.883904e-010	-5.860411e-010
3.962499999999993e-011	-6.865438e-010	-6.835911e-010
3.987499999999993e-011	-7.728866e-010	-7.711979e-010
4.000000000000000e-011	-8.109921e-010	-8.109921e-010
4.002500000000000e-011	-8.215469e-010	-8.210153e-010
4.007500000000000e-011	-8.394666e-010	-8.373162e-010
4.017500000000000e-011	-8.624033e-010	-8.597194e-010
4.037500000000000e-011	-8.921730e-010	-8.923312e-010
4.062500000000000e-011	-9.300972e-010	-9.293951e-010
4.087500000000000e-011	-9.652129e-010	-9.592369e-010
4.112500000000000e-011	-9.764247e-010	-9.679605e-010
4.137500000000000e-011	-9.537795e-010	-9.461814e-010
4.162500000000000e-011	-9.007418e-010	-8.954208e-010
4.187500000000000e-011	-8.264204e-010	-8.231321e-010
4.212500000000000e-011	-7.389461e-010	-7.367069e-010
4.237500000000000e-011	-6.425153e-010	-6.403475e-010
4.262500000000000e-011	-5.374134e-010	-5.347342e-010
4.287499999999999e-011	-4.215946e-010	-4.183036e-010
4.312499999999999e-011	-2.926117e-010	-2.889954e-010
4.337499999999999e-011	-1.491637e-010	-1.457233e-010
4.362499999999999e-011	8.045967e-012	1.076767e-011
4.387499999999999e-011	1.761424e-010	1.776940e-010
4.412499999999999e-011	3.504451e-010	3.505444e-010
4.437499999999999e-011	5.251449e-010	5.237042e-010
4.462499999999999e-011	6.940817e-010	6.911911e-010
4.487499999999999e-011	8.514560e-010	8.473406e-010
4.512499999999999e-011	9.923685e-010	9.873331e-010
4.537499999999999e-011	1.113139e-009	1.107514e-009
4.562499999999999e-011	1.211407e-009	1.205499e-009
4.587499999999998e-011	1.286040e-009	1.280101e-009
4.612499999999998e-011	1.336914e-009	1.331120e-009
4.637499999999998e-011	1.364613e-009	1.359064e-009
4.662499999999998e-011	1.370118e-009	1.364844e-009
4.687499999999998e-011	1.354526e-009	1.349499e-009
4.712499999999998e-011	1.318825e-009	1.313986e-009
4.737499999999998e-011	1.263770e-009	1.259048e-009
4.762499999999998e-011	1.189828e-009	1.185163e-009
4.787499999999998e-011	1.097226e-009	1.092583e-009
4.812499999999998e-011	9.860518e-010	9.814340e-010
4.837499999999998e-011	8.564068e-010	8.518611e-010
4.862499999999997e-011	7.085790e-010	7.041948e-010
4.887499999999997e-011	5.432145e-010	5.391184e-010
4.912499999999997e-011	3.614656e-010	3.578113e-010
4.937499999999997e-011	1.650995e-010	1.620553e-010
4.962499999999997e-011	-4.344320e-011	-4.570832e-011
4.987499999999997e-011	-2.610464e-010	-2.623769e-010
5.012499999999997e-011	-4.839717e-010	-4.842382e-010
5.037499999999997e-011	-7.079631e-010	-7.070725e-010
5.062499999999997e-011	-9.283920e-010	-9.262951e-010
5.087499999999997e-011	-1.140433e-009	-1.137129e-009
5.112499999999997e-011	-1.339257e-009	-1.334792e-009
5.137499999999997e-011	-1.520222e-009	-1.514691e-009
5.162499999999996e-011	-1.679063e-009	-1.672599e-009
5.187499999999996e-011	-1.812049e-009	-1.804819e-009
5.212499999999996e-011	-1.916117e-009	-1.908313e-009
5.237499999999996e-011	-1.988969e-009	-1.980795e-009
5.262499999999996e-011	-2.029125e-009	-2.020788e-009
5.287499999999996e-011	-2.035934e-009	-2.027636e-009
5.312499999999996e-011	-2.009553e-009	-2.001482e-009
5.337499999999996e-011	-1.950887e-009	-1.943207e-009
5.362499999999996e-011	-1.861501e-009	-1.854350e-009
5.387499999999996e-011	-1.743510e-009	-1.736996e-009
5.412499999999996e-011	-1.599462e-009	-1.593661e-009
5.437499999999995e-011	-1.432208e-009	-1.427165e-009
5.462499999999995e-011	-1.244783e-009	-1.240516e-009
5.487499999999995e-011	-1.040288e-009	-1.036788e-009
5.512499999999995e-011	-8.217946e-010	-8.190353e-010
5.537499999999995e-011	-5.922642e-010	-5.902034e-010
