Freq.	mag(V(d_3p))
Step Information: C_d=100f  (Run: 1/10)
2.73864000000000e+009	(-7.91657745880580e+000dB,0.00000000000000e+000°)
2.75863000000000e+009	(-7.91613911354310e+000dB,0.00000000000000e+000°)
2.77862000000000e+009	(-7.91575184386787e+000dB,0.00000000000000e+000°)
2.79861000000000e+009	(-7.91541681344766e+000dB,0.00000000000000e+000°)
2.81860000000000e+009	(-7.91513517923219e+000dB,0.00000000000000e+000°)
2.83859000000000e+009	(-7.91490809098686e+000dB,0.00000000000000e+000°)
2.85858000000000e+009	(-7.91473669082692e+000dB,0.00000000000000e+000°)
2.87857000000000e+009	(-7.91462211275120e+000dB,0.00000000000000e+000°)
2.89856000000000e+009	(-7.91456548217666e+000dB,0.00000000000000e+000°)
2.91855000000000e+009	(-7.91456791547341e+000dB,0.00000000000000e+000°)
2.93854000000000e+009	(-7.91463051950086e+000dB,0.00000000000000e+000°)
2.95853000000000e+009	(-7.91475439114521e+000dB,0.00000000000000e+000°)
2.97852000000000e+009	(-7.91494061685818e+000dB,0.00000000000000e+000°)
2.99851000000000e+009	(-7.91519027219773e+000dB,0.00000000000000e+000°)
3.01850000000000e+009	(-7.91550442137099e+000dB,0.00000000000000e+000°)
3.03849000000000e+009	(-7.91588411677921e+000dB,0.00000000000000e+000°)
3.05848000000000e+009	(-7.91633039856562e+000dB,0.00000000000000e+000°)
3.07847000000000e+009	(-7.91684429416607e+000dB,0.00000000000000e+000°)
3.09846000000000e+009	(-7.91742681786289e+000dB,0.00000000000000e+000°)
3.11845000000000e+009	(-7.91807897034216e+000dB,0.00000000000000e+000°)
3.13844000000000e+009	(-7.91880173825482e+000dB,0.00000000000000e+000°)
3.15843000000000e+009	(-7.91959609378167e+000dB,0.00000000000000e+000°)
3.17842000000000e+009	(-7.92046299420289e+000dB,0.00000000000000e+000°)
3.19841000000000e+009	(-7.92140338147172e+000dB,0.00000000000000e+000°)
3.21840000000000e+009	(-7.92241818179350e+000dB,0.00000000000000e+000°)
3.23839000000000e+009	(-7.92350830520946e+000dB,0.00000000000000e+000°)
3.25838000000000e+009	(-7.92467464518614e+000dB,0.00000000000000e+000°)
3.27837000000000e+009	(-7.92591807821015e+000dB,0.00000000000000e+000°)
3.29836000000000e+009	(-7.92723946338952e+000dB,0.00000000000000e+000°)
3.31835000000000e+009	(-7.92863964206044e+000dB,0.00000000000000e+000°)
3.33834000000000e+009	(-7.93011943740119e+000dB,0.00000000000000e+000°)
3.35833000000000e+009	(-7.93167965405238e+000dB,0.00000000000000e+000°)
3.37832000000000e+009	(-7.93332107774447e+000dB,0.00000000000000e+000°)
3.39831000000000e+009	(-7.93504447493234e+000dB,0.00000000000000e+000°)
3.41830000000000e+009	(-7.93685059243753e+000dB,0.00000000000000e+000°)
3.43829000000000e+009	(-7.93874015709831e+000dB,0.00000000000000e+000°)
3.45828000000000e+009	(-7.94071387542741e+000dB,0.00000000000000e+000°)
3.47827000000000e+009	(-7.94277243327865e+000dB,0.00000000000000e+000°)
3.49826000000000e+009	(-7.94491649552138e+000dB,0.00000000000000e+000°)
3.51825000000000e+009	(-7.94714670572421e+000dB,0.00000000000000e+000°)
3.53824000000000e+009	(-7.94946368584726e+000dB,0.00000000000000e+000°)
3.55823000000000e+009	(-7.95186803594410e+000dB,0.00000000000000e+000°)
3.57822000000000e+009	(-7.95436033387247e+000dB,0.00000000000000e+000°)
3.59821000000000e+009	(-7.95694113501513e+000dB,0.00000000000000e+000°)
3.61820000000000e+009	(-7.95961097201041e+000dB,0.00000000000000e+000°)
3.63819000000000e+009	(-7.96237035449244e+000dB,0.00000000000000e+000°)
3.65818000000000e+009	(-7.96521976884195e+000dB,0.00000000000000e+000°)
3.67817000000000e+009	(-7.96815967794741e+000dB,0.00000000000000e+000°)
3.69816000000000e+009	(-7.97119052097644e+000dB,0.00000000000000e+000°)
3.71815000000000e+009	(-7.97431271315824e+000dB,0.00000000000000e+000°)
3.73814000000000e+009	(-7.97752664557676e+000dB,0.00000000000000e+000°)
3.75813000000000e+009	(-7.98083268497475e+000dB,0.00000000000000e+000°)
3.77812000000000e+009	(-7.98423117356938e+000dB,0.00000000000000e+000°)
3.79811000000000e+009	(-7.98772242887856e+000dB,0.00000000000000e+000°)
3.81810000000000e+009	(-7.99130674355919e+000dB,0.00000000000000e+000°)
3.83809000000000e+009	(-7.99498438525663e+000dB,0.00000000000000e+000°)
3.85808000000000e+009	(-7.99875559646600e+000dB,0.00000000000000e+000°)
3.87807000000000e+009	(-8.00262059440480e+000dB,0.00000000000000e+000°)
3.89806000000000e+009	(-8.00657957089789e+000dB,0.00000000000000e+000°)
3.91805000000000e+009	(-8.01063269227383e+000dB,0.00000000000000e+000°)
3.93804000000000e+009	(-8.01478009927338e+000dB,0.00000000000000e+000°)
3.95803000000000e+009	(-8.01902190697006e+000dB,0.00000000000000e+000°)
3.97802000000000e+009	(-8.02335820470247e+000dB,0.00000000000000e+000°)
3.99801000000000e+009	(-8.02778905601883e+000dB,0.00000000000000e+000°)
4.01800000000000e+009	(-8.03231449863364e+000dB,0.00000000000000e+000°)
4.03799000000000e+009	(-8.03693454439624e+000dB,0.00000000000000e+000°)
4.05798000000000e+009	(-8.04164917927153e+000dB,0.00000000000000e+000°)
4.07797000000000e+009	(-8.04645836333282e+000dB,0.00000000000000e+000°)
4.09796000000000e+009	(-8.05136203076660e+000dB,0.00000000000000e+000°)
4.11795000000000e+009	(-8.05636008988946e+000dB,0.00000000000000e+000°)
4.13794000000000e+009	(-8.06145242317671e+000dB,0.00000000000000e+000°)
4.15793000000000e+009	(-8.06663888730328e+000dB,0.00000000000000e+000°)
4.17792000000000e+009	(-8.07191931319602e+000dB,0.00000000000000e+000°)
4.19791000000000e+009	(-8.07729350609832e+000dB,0.00000000000000e+000°)
4.21790000000000e+009	(-8.08276124564569e+000dB,0.00000000000000e+000°)
4.23789000000000e+009	(-8.08832228595372e+000dB,0.00000000000000e+000°)
4.25788000000000e+009	(-8.09397635571688e+000dB,0.00000000000000e+000°)
4.27787000000000e+009	(-8.09972315831891e+000dB,0.00000000000000e+000°)
4.29786000000000e+009	(-8.10556237195457e+000dB,0.00000000000000e+000°)
4.31785000000000e+009	(-8.11149364976234e+000dB,0.00000000000000e+000°)
4.33784000000000e+009	(-8.11751661996807e+000dB,0.00000000000000e+000°)
4.35783000000000e+009	(-8.12363088603946e+000dB,0.00000000000000e+000°)
4.37782000000000e+009	(-8.12983602685122e+000dB,0.00000000000000e+000°)
4.39781000000000e+009	(-8.13613159686074e+000dB,0.00000000000000e+000°)
4.41780000000000e+009	(-8.14251712629374e+000dB,0.00000000000000e+000°)
4.43779000000000e+009	(-8.14899212134054e+000dB,0.00000000000000e+000°)
4.45778000000000e+009	(-8.15555606436165e+000dB,0.00000000000000e+000°)
4.47777000000000e+009	(-8.16220841410365e+000dB,0.00000000000000e+000°)
4.49776000000000e+009	(-8.16894860592403e+000dB,0.00000000000000e+000°)
4.51775000000000e+009	(-8.17577605202564e+000dB,0.00000000000000e+000°)
4.53774000000000e+009	(-8.18269014169998e+000dB,0.00000000000000e+000°)
4.55773000000000e+009	(-8.18969024157964e+000dB,0.00000000000000e+000°)
4.57772000000000e+009	(-8.19677569589874e+000dB,0.00000000000000e+000°)
4.59771000000000e+009	(-8.20394582676232e+000dB,0.00000000000000e+000°)
4.61770000000000e+009	(-8.21119993442347e+000dB,0.00000000000000e+000°)
4.63769000000000e+009	(-8.21853729756832e+000dB,0.00000000000000e+000°)
4.65768000000000e+009	(-8.22595717360873e+000dB,0.00000000000000e+000°)
4.67767000000000e+009	(-8.23345879898218e+000dB,0.00000000000000e+000°)
4.69766000000000e+009	(-8.24104138945873e+000dB,0.00000000000000e+000°)
4.71765000000000e+009	(-8.24870414045479e+000dB,0.00000000000000e+000°)
4.73764000000000e+009	(-8.25644622735358e+000dB,0.00000000000000e+000°)
4.75763000000000e+009	(-8.26426680583117e+000dB,0.00000000000000e+000°)
4.77762000000000e+009	(-8.27216501218943e+000dB,0.00000000000000e+000°)
4.79761000000000e+009	(-8.28013996369383e+000dB,0.00000000000000e+000°)
4.81760000000000e+009	(-8.28819075891702e+000dB,0.00000000000000e+000°)
4.83759000000000e+009	(-8.29631647808750e+000dB,0.00000000000000e+000°)
4.85758000000000e+009	(-8.30451618344300e+000dB,0.00000000000000e+000°)
4.87757000000000e+009	(-8.31278891958853e+000dB,0.00000000000000e+000°)
4.89756000000000e+009	(-8.32113371385845e+000dB,0.00000000000000e+000°)
4.91755000000000e+009	(-8.32954957668283e+000dB,0.00000000000000e+000°)
4.93754000000000e+009	(-8.33803550195738e+000dB,0.00000000000000e+000°)
4.95753000000000e+009	(-8.34659046741650e+000dB,0.00000000000000e+000°)
4.97752000000000e+009	(-8.35521343500996e+000dB,0.00000000000000e+000°)
4.99751000000000e+009	(-8.36390335128213e+000dB,0.00000000000000e+000°)
5.01750000000000e+009	(-8.37265914775389e+000dB,0.00000000000000e+000°)
5.03749000000000e+009	(-8.38147974130646e+000dB,0.00000000000000e+000°)
5.05748000000000e+009	(-8.39036403456828e+000dB,0.00000000000000e+000°)
5.07747000000000e+009	(-8.39931091630252e+000dB,0.00000000000000e+000°)
5.09746000000000e+009	(-8.40831926179660e+000dB,0.00000000000000e+000°)
5.11745000000000e+009	(-8.41738793325326e+000dB,0.00000000000000e+000°)
5.13744000000000e+009	(-8.42651578018240e+000dB,0.00000000000000e+000°)
5.15743000000000e+009	(-8.43570163979327e+000dB,0.00000000000000e+000°)
5.17742000000000e+009	(-8.44494433738805e+000dB,0.00000000000000e+000°)
5.19741000000000e+009	(-8.45424268675509e+000dB,0.00000000000000e+000°)
5.21740000000000e+009	(-8.46359549056246e+000dB,0.00000000000000e+000°)
5.23739000000000e+009	(-8.47300154075123e+000dB,0.00000000000000e+000°)
5.25738000000000e+009	(-8.48245961892862e+000dB,0.00000000000000e+000°)
5.27737000000000e+009	(-8.49196849676043e+000dB,0.00000000000000e+000°)
5.29736000000000e+009	(-8.50152693636227e+000dB,0.00000000000000e+000°)
5.31735000000000e+009	(-8.51113369069053e+000dB,0.00000000000000e+000°)
5.33734000000000e+009	(-8.52078750393153e+000dB,0.00000000000000e+000°)
5.35733000000000e+009	(-8.53048711188943e+000dB,0.00000000000000e+000°)
5.37732000000000e+009	(-8.54023124237247e+000dB,0.00000000000000e+000°)
5.39731000000000e+009	(-8.55001861557748e+000dB,0.00000000000000e+000°)
5.41730000000000e+009	(-8.55984794447217e+000dB,0.00000000000000e+000°)
5.43729000000000e+009	(-8.56971793517491e+000dB,0.00000000000000e+000°)
5.45728000000000e+009	(-8.57962728733266e+000dB,0.00000000000000e+000°)
5.47727000000000e+009	(-8.58957469449577e+000dB,0.00000000000000e+000°)
5.49726000000000e+009	(-8.59955884449002e+000dB,0.00000000000000e+000°)
5.51725000000000e+009	(-8.60957841978521e+000dB,0.00000000000000e+000°)
5.53724000000000e+009	(-8.61963209786125e+000dB,0.00000000000000e+000°)
5.55723000000000e+009	(-8.62971855157006e+000dB,0.00000000000000e+000°)
5.57722000000000e+009	(-8.63983644949392e+000dB,0.00000000000000e+000°)
5.59721000000000e+009	(-8.64998445630036e+000dB,0.00000000000000e+000°)
5.61720000000000e+009	(-8.66016123309258e+000dB,0.00000000000000e+000°)
5.63719000000000e+009	(-8.67036543775590e+000dB,0.00000000000000e+000°)
5.65718000000000e+009	(-8.68059572529962e+000dB,0.00000000000000e+000°)
5.67717000000000e+009	(-8.69085074819514e+000dB,0.00000000000000e+000°)
5.69716000000000e+009	(-8.70112915670828e+000dB,0.00000000000000e+000°)
5.71715000000000e+009	(-8.71142959922837e+000dB,0.00000000000000e+000°)
5.73714000000000e+009	(-8.72175072259075e+000dB,0.00000000000000e+000°)
5.75713000000000e+009	(-8.73209117239645e+000dB,0.00000000000000e+000°)
5.77712000000000e+009	(-8.74244959332491e+000dB,0.00000000000000e+000°)
5.79711000000000e+009	(-8.75282462944301e+000dB,0.00000000000000e+000°)
5.81710000000000e+009	(-8.76321492450881e+000dB,0.00000000000000e+000°)
5.83709000000000e+009	(-8.77361912226935e+000dB,0.00000000000000e+000°)
5.85708000000000e+009	(-8.78403586675458e+000dB,0.00000000000000e+000°)
5.87707000000000e+009	(-8.79446380256488e+000dB,0.00000000000000e+000°)
5.89706000000000e+009	(-8.80490157515443e+000dB,0.00000000000000e+000°)
5.91705000000000e+009	(-8.81534783110835e+000dB,0.00000000000000e+000°)
